loop,n_labeled,al_mean_dice,al_ncr,al_ed,al_et,random_mean_dice,random_ncr,random_ed,random_et,al_patients_added,random_patients_added
0,37,0.6737486689602742,0.5755266104414485,0.7453613232962443,0.7003580731431298,0.6737486689602742,0.5755266104414485,0.7453613232962443,0.7003580731431298,[],[]
1,47,0.6664402591822034,0.5806248521727133,0.7244696528472285,0.6942262725266684,0.6732908105071146,0.5798703280812592,0.737765040287827,0.7022370631522578,"['BraTS20_Training_328', 'BraTS20_Training_281', 'BraTS20_Training_278', 'BraTS20_Training_293', 'BraTS20_Training_327', 'BraTS20_Training_285', 'BraTS20_Training_360', 'BraTS20_Training_301', 'BraTS20_Training_290', 'BraTS20_Training_279']","['BraTS20_Training_260', 'BraTS20_Training_047', 'BraTS20_Training_265', 'BraTS20_Training_328', 'BraTS20_Training_308', 'BraTS20_Training_256', 'BraTS20_Training_228', 'BraTS20_Training_036', 'BraTS20_Training_207', 'BraTS20_Training_267']"
2,57,0.6813581060634583,0.5857431714202348,0.7444404858503194,0.7138906609198201,0.6742560363487068,0.5735075847578425,0.741630378703744,0.7076301455845337,"['BraTS20_Training_002', 'BraTS20_Training_061', 'BraTS20_Training_070', 'BraTS20_Training_009', 'BraTS20_Training_089', 'BraTS20_Training_001', 'BraTS20_Training_308', 'BraTS20_Training_260', 'BraTS20_Training_316', 'BraTS20_Training_171']","['BraTS20_Training_369', 'BraTS20_Training_088', 'BraTS20_Training_008', 'BraTS20_Training_325', 'BraTS20_Training_060', 'BraTS20_Training_233', 'BraTS20_Training_362', 'BraTS20_Training_072', 'BraTS20_Training_217', 'BraTS20_Training_333']"
3,67,0.6907037887134727,0.6142908259782249,0.744280502947684,0.7135400372145091,0.6838818945454511,0.599587766470173,0.7421427588914579,0.7099151582747225,"['BraTS20_Training_312', 'BraTS20_Training_323', 'BraTS20_Training_325', 'BraTS20_Training_306', 'BraTS20_Training_289', 'BraTS20_Training_149', 'BraTS20_Training_326', 'BraTS20_Training_069', 'BraTS20_Training_307', 'BraTS20_Training_305']","['BraTS20_Training_101', 'BraTS20_Training_139', 'BraTS20_Training_269', 'BraTS20_Training_316', 'BraTS20_Training_326', 'BraTS20_Training_120', 'BraTS20_Training_053', 'BraTS20_Training_337', 'BraTS20_Training_188', 'BraTS20_Training_292']"
